CCc1sc(Br)cc1Br.Clc1ccc(I)cc1 CCC(Br)C(Br)c1cc(-c2ccc(Cl)cc2)sc1Br
Brc1ccccn1.C#CCCn1cc(-c2ccc(F)cc2)nn1 Brc1cn(CCC#Cc2ccccn2)nn1.OB(O)c1ccc(F)cc1
CC(=O)O.CC(C)(C)OC(=O)N1CCN(c2c(C(=O)NN)cnc3[nH]ccc23)CC1 CC(=O)OC(C)=O.CC(C)(C)OC(=O)N1CCN(c2c(C(=O)NN)cnc3[nH]ccc23)CC1
CCN.N#CC(NC(=O)c1sc(Br)nc1C(F)(F)F)c1cccs1 CCNc1nc(C(F)(F)F)c(C(=O)O)s1.N#CC(N)c1cccs1
CCOC(=O)c1ccc(C2CC2)c(O)n1.CI CCOC(=O)c1ccc(Br)c(OC)n1.OB(O)C1CC1
COc1ccc2c(Cc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(S(C)(=O)=O)cc3)ccc2c1 CS(=O)(=O)c1ccc(-c2ccc3cc(OCc4ccccc4)ccc3c2Cc2ccc(OCCN3CCCCC3)cc2)cc1
COc1ccc(CNc2cccc(CCCCC(=O)CP(=O)(OC)OC)n2)cc1.Cc1ncc(C=O)cn1 COc1ccc(CNc2cccc(CCCCC(=O)C=O)n2)cc1.Cc1ncc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cn1
Cc1ccc(S(=O)(=O)OC[C@@H]2NC(=O)[C@@H]2N=[N+]=[N-])cc1 Cc1ccc(S(=O)(=O)OC[C@@H]2NC(=O)[C@@H]2NC(=O)OC(C)(C)C)cc1
CO.O=C(O)c1ccc(O)cn1 COC(=O)c1ccc(OCc2ccccc2)cn1
NS(=O)(=O)Cl.O=C(N[C@@H]1C[C@H](CO)[C@@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1)c1ccncc1 N[C@H]1C[C@@H](COC(=O)c2ccccc2)[C@@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1.O=C(O)c1ccncc1
Cn1cncc1C(O)(c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C)c1ccc(Cl)cn1.NC1CC1 Cn1c(=O)cc(-c2cccc(Cl)c2)c2cc(C3(N)CC3)ccc21.Cn1cncc1C(Br)(c1ccc(Cl)cn1)c1ccc(Cl)cn1
COc1ccc(COC(=O)c2ccc(O)cc2)cc1.OCCBr COc1ccc(CCl)cc1.O=C(O)c1ccc(OCCO)cc1
COC(OC)c1ccc2cccnc2n1 COC(OC)c1ccc2c(n1)N(C(=O)OC(C)(C)C)CCC2
CC(C)(C)OC(=O)NC1CCNCC1.O=C(Cl)OCc1ccccc1 CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.NC1CCN(C(=O)OCc2ccccc2)CC1
CCNCCN(C)C.Nc1ncc(-c2ccc(C(=O)O)cc2)cc1C(=O)Nc1ccncc1 CCN(CCN(C)C)C(=O)c1ccc([Sn](C)(C)C)cc1.Nc1ncc(Br)cc1C(=O)Nc1ccncc1
CI.Cc1c(SC(F)F)ccc(N(C)C(=O)NC(=O)c2c(F)cccc2F)c1C CNC(=O)N(C)C(=O)c1c(F)cccc1F.Cc1c(SC(F)F)ccc(N(C)C(=O)O)c1C
COC(=O)c1ccc2c(C3CCCCC3)c(-c3cc([N+](=O)[O-])c4nc(-c5sc(C)nc5C)ccc4c3)n(CC(=O)N3CCOCC3)c2c1 COC(=O)c1ccc2c(C3CCCCC3)c(-c3cc(NC(=O)OC(C)(C)C)c4nc(-c5sc(C)nc5C)ccc4c3)n(CC(=O)N3CCOCC3)c2c1
CN.COC(=O)C1CCC(c2csc(NC(=N)N)n2)C1 CNC(=O)C1CCC(c2csc(NC(=N)NC(=O)OC(C)(C)C)n2)C1
O=C(O)[C@H]1NCC[C@@H]1c1ccccc1 CC(C)(C)OC(=O)N1CC[C@@H](c2ccccc2)[C@H](CO)C1
COc1ccc(N2CCN(CCc3ccccc3)CC2)c(C)c1 Cc1cc(OCc2ccccc2)ccc1N1CCN(CCc2ccccc2)CC1
CC(C)(C)OC(=O)N1CCNCC1.OCC[C@@H]1CSC(c2cc3cc(Cl)cc(NC4CCCC4)c3[nH]2)=N1 CC(C)(C)OC(=O)N1CCN(CC[C@@H]2CSC(c3cc4cc(Cl)cc(N)c4[nH]3)=N2)CC1.O=C1CCCC1
CC(C)(C)OC(=O)N1CCNC[C@@H]1CCO.O=C(O)c1cccc2cccnc12 COC(=O)C[C@H]1CN(C(=O)c2cccc3cccnc23)CCN1C(=O)OC(C)(C)C
CCOC(=O)CBr.O=c1[nH]c2cc(Cl)ccc2c(=O)n1Cc1ccc(Br)cc1F CCOC(=O)CBr.O=c1[nH]c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc12
CC(C)c1cccc(C(C)C)c1N.Cc1ccc2c(c1)C(C(=O)O)c1ccccc1CO2 CC(C)c1cccc(C(C)C)c1N=C=O.Cc1ccc2c(c1)C(C(=O)O)c1ccccc1CO2
CCOC(=O)C[C@@H](NC(=O)CN)c1cc(C)cc(C)c1O.O=C(O)c1cc(NC2=NCC(F)CN2)cc([N+](=O)[O-])c1 CCOC(=O)C[C@@H](NC(=O)CNC(=O)c1cc(NC2=NCC(F)CN2)cc([N+](=O)[O-])c1)c1cc(C)cc(C)c1OC(C)=O
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1.OBO CC(C)CB(O)O.CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1
Brc1ccc(I)cc1.c1ccc(-c2ccc(Nc3ccc(-c4ccccc4)cc3)cc2)cc1 Brc1ccc(N(c2ccc(I)cc2)c2ccc(-c3ccccc3)cc2)cc1.OB(O)c1ccccc1
CCOC(=O)C(=O)CC(=O)c1ccc2c(c1)c1cc(-c3ccc(Br)cc3)c(=O)n(C)c1n2C.NN CCOC(=O)c1cc(-c2ccc3c(c2)c2cc(-c4ccc(Br)cc4)c(=O)n(C)c2n3C)n(C(=O)OC(C)(C)C)n1
CCOC(C)=O.Cc1ccc(Cl)cc1N CC(=O)OC(C)=O.Cc1ccc(Cl)cc1N
C1COCCN1.Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](CNC(=O)NCCBr)C1 CC1(C)OB(c2cccc(OCc3ccccc3)c2)OC1(C)C.Nc1ncnc2c1c(I)cn2[C@H]1C[C@H](CNC(=O)NCCN2CCOCC2)C1
CCI.O=C(C1CC1)N1CC[C@]23COCC[C@H]2[C@H]1Cc1ccc(O)cc13 CCOc1ccc2c(c1)[C@]13CCN[C@H](C2)[C@@H]1CCOC3.O=C(O)C1CC1
C1COCCN1.COc1cc(C#N)c(N)cc1OCCCCl COc1cc(C#N)c([N+](=O)[O-])cc1OCCCN1CCOCC1
COc1cc2ncnc(Cl)c2cc1OCCCN1CCN(C)CC1.Nc1ccc2nc(NC(=O)c3ccccc3)sc2c1 CN1CCN(CCCOS(C)(=O)=O)CC1.COc1cc2ncnc(Nc3ccc4nc(NC(=O)c5ccccc5)sc4c3)c2cc1O
COC(=O)COc1c(-c2ccccc2)nc2ccccc2c1C(=O)NN(C(=O)OC)c1ccccc1 COC(=O)N(NC(=O)c1c(OCC(=O)OC(C)(C)C)c(-c2ccccc2)nc2ccccc12)c1ccccc1
Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNC2)n1 CC(C)(C)OC(=O)N1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccncn2)C1
O=C(CCCCl)c1ccc(F)cc1 ClC(Cl)(Cl)Cl.OCCCCc1ccc(F)cc1
CN.Cc1cc(C(=O)O)ccc1Nc1ncc2c(n1)N(C1CCCC1)CC(F)(F)C(=O)N2C CNC(=O)c1ccc(N)c(C)c1.CN1C(=O)C(F)(F)CN(C2CCCC2)c2nc(Cl)ncc21
CCC=Cc1cccc(C)n1 CCCCB(O)O.Cc1cccc(Br)n1
COc1ccc(OCC(O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)OCC23CC4CC(CC(C4)C2)C3)cc1 COc1ccc(OCC(=O)[C@@H]2CCCN2)cc1.O=C(O)[C@@H]1CCCN1C(=O)OCC12CC3CC(CC(C3)C1)C2
Cn1c(=O)n(-c2ccc(C(C)(C)C#N)nc2)c2c3cc(Br)ccc3ncc21.OB(O)c1cccnc1 CC(C)(C#N)c1ccc(B2OC(C)(C)C(C)(C)O2)cn1.Cn1c(=O)n(-c2ccc(Br)nc2)c2c3cc(-c4cccnc4)ccc3ncc21
CC(C)(C)OC(=O)Nc1cc([N+](=O)[O-])cc(C(F)(F)F)c1.CN(C)CCCCl CC(C)(C)OC(=O)N(CCCOS(C)(=O)=O)c1cc([N+](=O)[O-])cc(C(F)(F)F)c1.CNC
Cc1noc(NS(=O)(=O)c2ccsc2C=O)c1Cl.SCCCS Cc1noc(N)c1Cl.O=S(=O)(Cl)c1ccsc1C1SCCCS1
COC(=O)[C@H]1N(C(=O)OC(C)(C)C)CC(F)(F)C1(C)C CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CC1(C)C(C)(C)C(C(=O)O)NCC1F
COCOc1c(C)c(C)c2c(c1C)CCC(C)(C=C(Cl)Cl)O2 Cc1c(C)c2c(c(C)c1O)CCC(C)(C=O)O2.ClC(Cl)=P(c1ccccc1)(c1ccccc1)c1ccccc1
CN(c1ccccc1Br)C1CCNCC1.O=C(O)CNC(=O)c1ccc(-c2ccccc2)cc1 CNC1CCN(C(=O)CNC(=O)c2ccc(-c3ccccc3)cc2)CC1.O=C(O)c1ccccc1Br
Cc1noc(C)c1B(O)O.O=c1[nH]c2ccc(Br)c3c2n1C(C1CCCCN1)CO3 Cc1noc(C)c1-c1ccc2[nH]c(=O)n3c2c1OCC3C1CCCCN1C(=O)OC(C)(C)C
CCS(=O)(=O)n1cccc1CN.Nc1ccc(C(F)(F)F)cc1C(=O)O CCS(=O)(=O)n1cccc1CNC(=O)c1cc(C(F)(F)F)ccc1[N+](=O)[O-]
C[Mg+].[O-][n+]1c(F)c(F)c(F)c(F)c1F Cc1nc(F)c(F)c(F)c1F.O=C(OO)c1cccc(Cl)c1
NCC(=O)N1CCN(C(=O)c2ccccc2C(F)(F)F)CC1.O=C(O)c1cc(-c2ccc(O)cc2)on1 O=C(NCC(=O)N1CCN(C(=O)c2ccccc2C(F)(F)F)CC1)c1cc(-c2ccc(OCc3ccccc3)cc2)on1
CNc1nc(C=O)c(-c2ccncc2)s1.CS(C)=O C=C[Sn](CCCC)(CCCC)CCCC.CNc1nc(Br)c(-c2ccncc2)s1
Cc1ccc(-c2c(C(C)Br)oc(=O)c3ccccc23)cn1.Nc1ncnc2[nH]ncc12 Cc1ccc(B(O)O)cn1.Nc1ncnc2c1cnn2C(C)c1oc(=O)c2ccccc2c1Br
COc1ccc(CN(c2ccccc2)c2cc(Cl)nn3c(Br)cnc23)cc1.[C-]#N COc1ccc(CN(c2ccccc2)c2cc(Cl)nn3c(C(N)=O)cnc23)cc1
CC(C)(C)OC(=O)NCCBr.O=C(O)c1cc(O)cc(S(F)(F)(F)(F)F)c1 CCOC(=O)c1cc(OCCNC(=O)OC(C)(C)C)cc(S(F)(F)(F)(F)F)c1
CC(=O)c1cccc(O)c1.C[Mg+] CC(C)(O)c1cccc(OCc2ccccc2)c1
CC(C)(C)OC(=O)CC[C@H](N)C(=O)Nc1cccc(COc2ccc3[nH]c(C(N)=O)cc3c2)c1 CC(C)(C)OC(=O)N[C@@H](CCC(=O)O)C(=O)Nc1cccc(COc2ccc3[nH]c(C(N)=O)cc3c2)c1
CC1(c2ccsc2)OCC(=O)Nc2ccc(-c3ccc(C#N)[nH]3)cc21.CI CC1(c2ccsc2)OCC(=O)Nc2ccc(Br)cc21.Cn1c(C#N)ccc1B(O)O
CC(C)(F)Cn1c(CCOCc2ccccc2)nc2c(N)nc3cccnc3c21 CC(C)(F)Cn1c(CCO[Si](C)(C)C(C)(C)C)nc2c(N)nc3cccnc3c21
CNCCCN(C)C.COC(=O)c1cc2cc[nH]c(=O)c2c2cc(-c3cccc(C=O)c3)ccc12 CN(C)CCCN(C)Cc1cccc(B(O)O)c1.COC(=O)c1cc2cc[nH]c(=O)c2c2cc(Br)ccc12
Clc1ccc(CBr)cc1.O=c1cc(O)cnn1C1CCCCO1 O=c1cc(Cl)cnn1C1CCCCO1.OCc1ccc(Cl)cc1
CC(Br)c1cc([N+](=O)[O-])c(Sc2ccc(Cl)cc2Cl)s1.N CC(=O)c1cc([N+](=O)[O-])c(Sc2ccc(Cl)cc2Cl)s1.[BH3-]C#N
COc1ccc(C2(C#N)CC2CO)cc1 COc1ccc(C2(CN=[N+]=[N-])CC2CO)cc1
CC(C)Oc1ccc(-c2nnc(Br)s2)cc1Cl.CCc1c(/C=C/OC)cccc1B1OC(C)(C)C(C)(C)O1 CCc1c(C=O)cccc1-c1nnc(-c2ccc(OC(C)C)c(Cl)c2)s1.COC[P+](c1ccccc1)(c1ccccc1)c1ccccc1
CS(=O)(=O)c1cccc(B(O)O)c1.Cc1oc(-c2ccc(Br)cc2)nc1CCN1CCCC1 C1CCNC1.Cc1oc(-c2ccc(-c3cccc(S(C)(=O)=O)c3)cc2)nc1CCOS(C)(=O)=O
Cc1ccc(CNc2ccc3c(C=O)cccc3n2)o1 Cc1ccc(CN)o1.OCc1cccc2nc(Cl)ccc12
Cn1nc(C(F)(F)F)cc1B(O)O.Nc1ncc(Br)s1 Cn1nc(C(F)(F)F)cc1B1OC(C)(C)C(C)(C)O1.Nc1ncc(Br)s1
COc1cc2c(Nc3cc(OC)c(Cl)cc3Cl)c(C#N)cnc2cc1F.O=S1(=O)CCN(CCCO)CC1 COc1cc2c(N)c(C#N)cnc2cc1OCCCN1CCS(=O)(=O)CC1.COc1cc(Cl)c(C=O)cc1Cl
C=C(C)C(F)(F)F.COC(=O)c1ccc(I)cc1 COC(=O)c1ccc(C=O)cc1.CC(C=O)C(F)(F)F
C1CNCCN1.CCOC(=O)CC(=O)c1cc(F)c(Cl)nc1Nc1ccc(F)cc1F CCOC(=O)CC(=O)c1cc(F)c(N2CCN(C(=O)OC(C)(C)C)CC2)nc1Nc1ccc(F)cc1F
CC(C)(C)OC(=O)N[C@H]1CC[C@H](Nc2cc(-n3c(C(F)F)nc4ccccc43)nc(N3CCOCC3)n2)CC1.CC(C)CBr CC(C)CN(c1cc(-n2c(C(F)F)nc3ccccc32)nc(Cl)n1)[C@H]1CC[C@H](NC(=O)OC(C)(C)C)CC1.OB(O)C1CCOCC1
C=CC1OCC(CCCCO)O1.ClCl O=C(O)CCCC1COC(C(Cl)CCl)O1
N#CCc1cnn2ccc3c(c12)CCO3 O=C(NCCc1cnn2ccc3c(c12)CCO3)OCc1ccccc1
CC(C)(C)OC(=O)N1CCN(C(CN)c2ccccc2F)CC1.CCC(CC)CBr CC(C)(C)OC(=O)N1CCN(C(C=O)c2ccccc2F)CC1.CCC(CC)C[NH3+]
C#Cc1ccccn1.COC(=O)COc1ccc(OC/C=C(\I)c2ccc(Br)cc2)cc1C C#C/C(=C\COc1ccc(OCC(=O)OC)c(C)c1)c1ccc(Br)cc1.Ic1ccccn1
CC(=O)O.Cc1c(Cl)cc(N)c(O)c1Cl CC(=O)OC(C)=O.Cc1c(Cl)cc(N)c(O)c1Cl
CNC1CCN(C(C)C)CC1.O=C1c2ccccc2C(=O)N1CCS(=O)(=O)Cl CC(C)N1CCC(N(C)S(=O)(=O)CCCl)CC1.O=C1NC(=O)c2ccccc21
Brc1ccccc1.C=Cc1ccc([Mg+])cc1 C=COS(C)(=O)=O.O=Cc1ccc(-c2ccccc2)cc1
COC(=O)c1ccc2c(C3CCCCC3)c(-c3cccn3C(=O)OC(C)(C)C)[nH]c2c1.ClCCCBr COC(=O)c1ccc2c(C3CCCCC3)c(-c3ccc(Cl)n3C(=O)OC(C)(C)C)[nH]c2c1.ClCCCBr
CCOC(=O)c1ccc(C2CCC3(CC2)CC3C(=O)OC(C)(C)C)cc1 COC(=O)c1ccc(C2CCC3(CC2)CC(C(=O)OC(C)(C)C)O3)cc1
CC(C)(C)OC(=O)N(CCCc1ccc(Br)cc1)C[C@H](O)c1cccnc1.COC(=O)c1ccc(B(O)O)cc1OCC(C)C CC(C)(C)OC(=O)N(CCCc1ccc(Br)cc1)C[C@H](O)c1cccnc1.COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1OCC(C)C
CC(=Nc1ccc(NC(=O)C(C)Br)cc1)N(C)C.CCNCC CC(=O)OC(C)=O.CCN(CC)C(C)C(=O)Nc1ccc(N)cc1
C=CC(=O)OC(C)(C)C.Oc1ccc(C(=C2CCCCCC2)c2ccc(Br)c(F)c2)cc1 CC(C)(C)OC(=O)/C=C/c1ccc(C(=O)c2ccc(O)cc2)cc1F.O=C1CCCCCC1
ClC(c1ccccc1)(c1ccccc1)c1ccccc1.c1ccc(-c2c[nH]cn2)cc1 Brc1cnc(-c2ccccc2)cn1.c1ccc(C(Br)(c2ccccc2)c2ccccc2)cc1
Cc1ccc2c(c1)C1(COc3cc4c(cc31)OCCO4)C(=O)N2.FC(F)(F)c1cccnc1CCl CC(=O)[O-].O=C1N(Cc2ncccc2C(F)(F)F)c2ccc(Br)cc2C12COc1cc3c(cc12)OCCO3
CC1CCNCC1.O=C(O)c1cc2cc(C(=O)N3CCN(C4CCCC4)CC3)ccc2[nH]1 C1CCC(N2CCNCC2)C1.CC1CCN(C(=O)c2cc3cc(C(=O)O)ccc3[nH]2)CC1
O=C(NCc1cn(-c2ccc(I)cc2)cn1)c1ccc(Cl)s1.O=C1NCCCN1 CC(C)(C)OC(=O)N1CCCN(c2ccc(-n3cnc(CNC(=O)c4ccc(Cl)s4)c3)cc2)C1=O
C#CCN.[N-]=[N+]=Nc1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1 CC(C)(C)OC(=O)NCc1cn(-c2ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc2)nn1
CC(C)c1cc(NC(=O)Nc2cc(Oc3ccc([N+](=O)[O-])nc3)ccc2F)n(-c2ccc3ncccc3c2)n1 CC(C)c1cc(NC(=O)Nc2cc(Oc3ccc(NC(=O)OC(C)(C)C)nc3)ccc2F)n(-c2ccc3ncccc3c2)n1
